CityCode,StateAbbr,StateDesc,CityName,DataSource,Category,Data_Value_Type,Data_Value,MeasureId,Short_Question_Text,LongMeasureName
C-001,AL,Alabama,Birmingham,BRFSS,Unhealthy Behaviors,Crude prevalence,41.7,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Unhealthy Behaviors,Crude prevalence,41.5,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,24,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,30.7,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,6.6,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,7.9,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,5.2,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,5.3,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,8.3,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,35.9,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,2.3,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,10.4,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,9.9,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,2.2,STROKE,Stroke,Stroke among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Health Outcomes,Crude prevalence,8.3,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-002,AL,Alabama,Hoover,BRFSS,Prevention,Crude prevalence,10.3,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-002,AL,Alabama,Hoover,BRFSS,Prevention,Crude prevalence,77.7,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-002,AL,Alabama,Hoover,BRFSS,Prevention,Crude prevalence,73,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Prevention,Crude prevalence,82.1,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Prevention,Crude prevalence,74,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-002,AL,Alabama,Hoover,BRFSS,Prevention,Crude prevalence,46.3,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-002,AL,Alabama,Hoover,BRFSS,Prevention,Crude prevalence,38.6,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-002,AL,Alabama,Hoover,BRFSS,Prevention,Crude prevalence,74.5,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Prevention,Crude prevalence,81,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-002,AL,Alabama,Hoover,BRFSS,Prevention,Crude prevalence,85.5,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-002,AL,Alabama,Hoover,BRFSS,Unhealthy Behaviors,Crude prevalence,17.8,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Unhealthy Behaviors,Crude prevalence,14.1,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Unhealthy Behaviors,Crude prevalence,20.4,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Unhealthy Behaviors,Crude prevalence,29.2,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-002,AL,Alabama,Hoover,BRFSS,Unhealthy Behaviors,Crude prevalence,32.9,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,29.2,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,36.8,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,6.4,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,9.5,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,6.7,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,7.6,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,12.2,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,38.9,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,3,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,13.3,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,13.2,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,3.4,STROKE,Stroke,Stroke among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Health Outcomes,Crude prevalence,14.2,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-003,AL,Alabama,Huntsville,BRFSS,Prevention,Crude prevalence,15.3,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-003,AL,Alabama,Huntsville,BRFSS,Prevention,Crude prevalence,79,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-003,AL,Alabama,Huntsville,BRFSS,Prevention,Crude prevalence,69.6,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Prevention,Crude prevalence,76.8,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Prevention,Crude prevalence,71.7,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-003,AL,Alabama,Huntsville,BRFSS,Prevention,Crude prevalence,46.4,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-003,AL,Alabama,Huntsville,BRFSS,Prevention,Crude prevalence,39.5,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-003,AL,Alabama,Huntsville,BRFSS,Prevention,Crude prevalence,61.2,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Prevention,Crude prevalence,80.2,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-003,AL,Alabama,Huntsville,BRFSS,Prevention,Crude prevalence,82.9,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-003,AL,Alabama,Huntsville,BRFSS,Unhealthy Behaviors,Crude prevalence,14.1,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Unhealthy Behaviors,Crude prevalence,18.5,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Unhealthy Behaviors,Crude prevalence,26,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Unhealthy Behaviors,Crude prevalence,32.6,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-003,AL,Alabama,Huntsville,BRFSS,Unhealthy Behaviors,Crude prevalence,37.8,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,32.1,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,42,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,6.3,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,9.9,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,7.7,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,8.6,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,15.2,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,39.9,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,3.4,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,14.7,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,15.7,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,4.5,STROKE,Stroke,Stroke among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Health Outcomes,Crude prevalence,19.7,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-004,AL,Alabama,Mobile,BRFSS,Prevention,Crude prevalence,17,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-004,AL,Alabama,Mobile,BRFSS,Prevention,Crude prevalence,79.3,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-004,AL,Alabama,Mobile,BRFSS,Prevention,Crude prevalence,74.6,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Prevention,Crude prevalence,75.9,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Prevention,Crude prevalence,65,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-004,AL,Alabama,Mobile,BRFSS,Prevention,Crude prevalence,31.8,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-004,AL,Alabama,Mobile,BRFSS,Prevention,Crude prevalence,30.7,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-004,AL,Alabama,Mobile,BRFSS,Prevention,Crude prevalence,58.7,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Prevention,Crude prevalence,82,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-004,AL,Alabama,Mobile,BRFSS,Prevention,Crude prevalence,85.5,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-004,AL,Alabama,Mobile,BRFSS,Unhealthy Behaviors,Crude prevalence,14.7,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Unhealthy Behaviors,Crude prevalence,20.2,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Unhealthy Behaviors,Crude prevalence,29.5,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Unhealthy Behaviors,Crude prevalence,39,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-004,AL,Alabama,Mobile,BRFSS,Unhealthy Behaviors,Crude prevalence,39.1,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,29.4,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,40.3,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,5.9,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,10.4,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,6.8,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,8.2,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,13.7,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,37.4,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,3.3,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,14.5,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,14.5,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,4.2,STROKE,Stroke,Stroke among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Crude prevalence,18.1,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-005,AL,Alabama,Montgomery,BRFSS,Prevention,Crude prevalence,17.9,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-005,AL,Alabama,Montgomery,BRFSS,Prevention,Crude prevalence,78.9,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-005,AL,Alabama,Montgomery,BRFSS,Prevention,Crude prevalence,76.5,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Prevention,Crude prevalence,75.9,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Prevention,Crude prevalence,64.9,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-005,AL,Alabama,Montgomery,BRFSS,Prevention,Crude prevalence,33.6,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-005,AL,Alabama,Montgomery,BRFSS,Prevention,Crude prevalence,31,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-005,AL,Alabama,Montgomery,BRFSS,Prevention,Crude prevalence,60.6,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Prevention,Crude prevalence,82.4,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-005,AL,Alabama,Montgomery,BRFSS,Prevention,Crude prevalence,85.5,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-005,AL,Alabama,Montgomery,BRFSS,Unhealthy Behaviors,Crude prevalence,15.1,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Unhealthy Behaviors,Crude prevalence,21,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Unhealthy Behaviors,Crude prevalence,29.8,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Unhealthy Behaviors,Crude prevalence,36.4,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-005,AL,Alabama,Montgomery,BRFSS,Unhealthy Behaviors,Crude prevalence,38,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,24.1,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,32.6,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,4.6,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,9.8,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,5.2,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,6.8,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,10.3,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,35,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,2.6,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,16.1,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,13.1,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,3.1,STROKE,Stroke,Stroke among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Crude prevalence,18.9,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Prevention,Crude prevalence,16.4,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Prevention,Crude prevalence,73.6,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-006,AL,Alabama,Tuscaloosa,BRFSS,Prevention,Crude prevalence,71.6,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Prevention,Crude prevalence,65.5,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Prevention,Crude prevalence,61.4,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-006,AL,Alabama,Tuscaloosa,BRFSS,Prevention,Crude prevalence,36,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-006,AL,Alabama,Tuscaloosa,BRFSS,Prevention,Crude prevalence,31.7,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-006,AL,Alabama,Tuscaloosa,BRFSS,Prevention,Crude prevalence,59.6,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Prevention,Crude prevalence,82.7,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Prevention,Crude prevalence,85,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Unhealthy Behaviors,Crude prevalence,17.2,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-006,AL,Alabama,Tuscaloosa,BRFSS,Unhealthy Behaviors,Crude prevalence,20.7,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
